Season,Week,SKU,ValueB1,ValueB2,ValueB3,ValueB4,ValueB5,ValueB6,ValueB7,ReturnB1,ReturnB2,ReturnB3,ReturnB4,ReturnB5,ReturnB6,ReturnB7
1,1,A,838.3507642,781.0697227,563.2694406,141.1612997,0,969.2153167,884.1959364,0,0,0,0,0,0,0
1,2,A,789.0947643,526.1680535,805.6458049,408.3562156,293.0225958,932.5551187,834.2945633,0,0,0,0,0,0,0
1,3,A,0,919.8785202,948.806674,966.2305334,0,221.828336,0,0,0,0,0,0,0,0
1,4,A,558.0573846,950.9689481,619.2673335,722.5611732,842.7953107,78.57682038,64.09029936,0,0,0,0,0,0,0
1,5,A,311.0412439,408.6380484,435.7211511,46.9106949,0,91.40486846,816.5489236,0,310.8500245,0,0,0,0,0
1,6,A,229.1048215,0,0,324.2758491,0,121.3924167,188.3600429,34.7392849,0,0,0,0,0,0
1,7,A,423.8671564,543.1798106,478.6339973,101.644521,100.7045025,43.13723195,648.9512382,91.51283756,0,0,0,0,0,0
1,8,A,0,0,24.80368383,215.8213777,609.7346372,455.7043437,644.1392855,0,0,0,0,0,0,0
1,9,A,625.0523832,613.3362149,371.7070888,152.5944785,220.9314972,449.8064808,0,0,0,0,0,0,0,0
1,10,A,101.1963519,305.5155526,0,143.4844693,403.7636906,116.4500834,282.478856,0,0,0,46.7977059,0,0,0
1,11,A,469.7777706,63.94926067,417.5154129,81.21543457,567.8270018,51.73395777,0,0,0,0,0,0,0,0
1,12,A,108.0935366,377.2199795,0,499.4783405,100.6325862,195.1150904,125.9059864,0,0,0,0,0,0,0
1,1,B,0,391.1803121,0,784.0833507,184.6575837,698.9959148,0,0,0,0,0,0,231.829875,0
1,2,B,231.9269441,0,720.8191756,908.5373341,0,612.6747752,784.2294528,0,0,0,0,0,0,0
1,3,B,0,222.9946205,7.809798265,410.5553427,223.1691636,368.0971343,34.9845037,0,0,0,0,0,0,0
1,4,B,704.683237,458.5693044,661.9200141,389.5920556,892.2165645,257.4413166,750.7873765,0,0,0,0,0,0,0
1,5,B,631.2687827,875.9223236,747.3988766,602.2835168,0,103.8230912,876.8754568,0,0,0,0,0,0,0
1,6,B,20.91453905,313.3637916,408.536212,318.5678288,588.8144053,765.8596422,626.7983912,0,54.11013692,0,0,0,0,0
1,7,B,122.2088254,286.6407581,107.8928537,490.1445981,0,649.4140429,555.1696233,0,0,0,0,0,0,0
1,8,B,536.8634646,461.2203373,119.1463959,84.5459482,607.3786496,395.5830946,437.549236,0,0,0,0,0,0,0
1,9,B,286.9046433,296.4009021,448.3490354,523.6712527,149.7837672,151.2394655,274.1647638,0,0,0,0,0,0,0
1,10,B,400.3335136,0,0,65.7848446,406.0453839,0,0,0,0,0,0,0,0,0
1,11,B,104.5830731,564.8560436,61.58305252,112.2547139,33.40575625,0,0,0,0,0,0,0,0,0
1,12,B,73.38188523,49.8198462,361.6975911,306.9601583,83.06476161,341.3162686,114.4127426,0,0,0,0,0,0,0
1,1,C,470.5848651,909.7155602,77.84924845,909.4320547,77.4435906,246.1564844,0,0,0,0,137.5926936,0,0,0
1,2,C,600.8188138,466.5179267,263.9696882,724.8083894,74.51031923,0,936.1218709,0,0,0,367.9473007,0,0,0
1,3,C,698.4754622,0,405.6552912,464.6744771,791.0228089,0,751.9544076,0,0,0,0,0,0,0
1,4,C,775.9271671,34.97603487,562.5551434,352.3214129,508.8985269,744.5365345,0,0,0,164.1866224,0,0,0,0
1,5,C,515.4019273,615.2635878,355.1408009,145.8197087,366.4752778,37.01219696,835.9796044,0,0,0,0,0,0,0
1,6,C,499.3425747,818.4411778,473.0054442,0,96.42436764,57.75699487,783.3873048,0,0,0,0,0,0,0
1,7,C,64.13911395,0,728.9675693,27.52243089,365.4245141,719.9797908,390.1094418,0,0,0,0,0,0,0
1,8,C,168.1188736,0,725.7623501,443.1889044,0,277.8070962,714.8135535,0,0,0,0,0,0,416.2356485
1,9,C,24.76851125,561.8766324,426.2238014,106.2534192,527.1842553,542.5169552,95.23842649,0,0,0,0,0,0,0
1,10,C,269.8577778,443.7222599,547.4166957,28.47693693,134.8377534,0,101.4072762,0,0,55.97125396,0,0,0,0
1,11,C,268.2046931,334.1992565,263.9050591,108.9562226,240.5026597,323.422707,507.6767392,0,0,0,0,0,0,0
1,12,C,174.9469762,472.4378587,305.490247,459.1612683,385.1728637,155.8186641,195.2971001,0,0,0,0,0,0,0
2,1,A,288.3723505,324.4314998,192.6834371,979.8467071,303.9131574,181.4442794,43.7561552,0,0,0,0,0,0,0
2,2,A,663.1109932,839.583065,103.6666442,296.6096293,0,0,942.6863982,0,0,0,0,0,0,0
2,3,A,543.0204437,0,362.1266856,433.9824458,301.0976742,78.99435977,0,0,0,0,0,0,0,0
2,4,A,575.6667415,201.3289941,382.8172703,681.9369301,924.4205683,876.8996153,393.0920186,0,0,0,0,96.41906645,0,0
2,5,A,0,243.0372427,50.0065989,0,263.6449817,306.2097605,840.9968953,0,0,0,0,0,0,0
2,6,A,0,582.2648826,0,386.9390737,624.0257392,123.1937498,427.4406439,0,0,0,0,0,0,0
2,7,A,786.0212955,113.9631554,273.9966407,518.699804,0,101.196977,93.10412195,0,0,0,0,0,0,0
2,8,A,210.8543798,358.3173032,636.8081691,204.9882901,0,0,496.5484935,0,0,0,0,0,0,0
2,9,A,443.5744395,101.5001312,419.7869022,0,544.053538,181.4970342,427.6742198,55.49672269,0,0,0,0,0,0
2,10,A,131.057898,449.574829,0,57.29382945,388.4656236,0,0,0,0,0,0,0,0,0
2,11,A,58.13654914,448.5445974,450.4318455,509.2934047,405.9252743,277.2764483,206.9038482,0,0,0,0,0,0,0
2,12,A,402.4214208,424.8595796,262.7655924,513.38061,302.056238,342.216502,408.6714336,0,0,0,0,0,0,0
2,1,B,0,0,0,547.3180434,411.5123725,52.69987391,247.7322473,0,0,0,0,0,0,0
2,2,B,0,675.1708224,10.82105458,0,353.3281639,316.741315,421.4366378,0,294.7443641,0,0,0,234.9918533,0
2,3,B,0,0,0,850.1773498,915.7952126,706.1764248,909.9775011,0,0,0,0,205.4331587,0,0
2,4,B,338.9315841,0,633.0498889,774.8334747,423.0137126,905.583824,597.1431247,427.0139294,0,0,0,0,0,0
2,5,B,759.9298704,724.4784878,27.75563422,662.2569279,349.2095708,438.2949808,99.63004717,0,0,0,0,0,0,0
2,6,B,813.86672,0,308.834496,30.96921863,666.2891048,477.615701,454.3941813,0,0,440.6270866,0,0,0,63.09995447
2,7,B,383.3669092,378.1427767,605.9704485,357.6007293,18.63631017,161.4005004,504.536569,185.1955855,0,0,0,0,0,0
2,8,B,369.1644855,605.1297422,24.22290639,107.7744219,301.2207098,0,0,0,0,0,0,0,0,0
2,9,B,0,195.3916519,141.1848937,240.9958594,0,13.35538388,425.0137433,0,74.15173892,0,0,0,0,0
2,10,B,389.0361925,336.5647841,158.6481222,480.9825355,80.36317154,86.94397764,0,0,0,0,0,0,0,0
2,11,B,555.3296351,61.30133234,576.5815957,0,409.4047324,577.6918366,54.93188982,0,0,43.42973607,0,0,441.7983618,0
2,12,B,449.6835539,0,333.6945827,22.1773708,45.72976478,0,0,0,0,0,0,0,0,0
2,1,C,25.96079188,147.0018621,267.9934555,324.5170045,0,733.9233495,199.3081844,0,0,0,0,0,0,0
2,2,C,992.8875066,70.22606297,0,495.3529533,585.2128483,71.65181899,561.9730372,0,255.4747823,0,169.4394471,0,0,263.1549277
2,3,C,276.2150951,615.7366026,642.3743683,834.5404241,494.5711509,436.8058876,391.8543498,0,0,0,130.9788885,0,0,0
2,4,C,209.8356367,0,0,959.207979,857.5062467,0,950.4474488,0,0,0,0,0,0,0
2,5,C,169.4305516,298.882564,620.4643824,25.73137868,0,47.89330702,51.37073517,0,0,0,0,0,420.9598002,0
2,6,C,580.2456223,0,599.2389237,343.1657346,0,810.0189523,704.9943614,0,0,29.75836983,459.8089802,0,0,0
2,7,C,347.9313864,618.5397877,217.0305962,0,759.866498,496.9541053,612.5824867,0,0,0,0,0,0,0
2,8,C,0,575.9458393,392.9480552,477.1419417,78.94864761,0,341.506294,0,450.0682844,0,0,0,0,0
2,9,C,646.322119,24.40078687,402.7028261,33.35128715,0,47.16061775,84.48298988,0,298.0305151,0,0,0,0,0
2,10,C,358.079979,0,319.0243699,0,96.15202438,0,0,0,0,0,0,0,0,0
2,11,C,521.1912178,159.2100893,493.9234463,79.32256869,325.3571734,531.5452076,96.67441592,0,0,0,0,267.4233264,0,0
2,12,C,421.4060402,11.76487581,0,391.6651932,0,0,279.9529195,0,0,0,0,0,0,0
3,1,A,0,144.7040653,566.7122913,12.30014356,615.3322428,695.51713,0,0,0,0,0,0,0,0
3,2,A,836.4188938,743.9599846,734.2652,45.1866345,0,979.6115532,0,0,0,0,0,0,0,0
3,3,A,941.3081446,0,450.5730644,691.4334753,545.8281912,953.5883375,960.4134292,0,0,0,0,335.5494975,0,0
3,4,A,0,914.6192711,613.2413192,430.3229883,628.2883231,197.4210071,640.6176946,0,372.053728,0,0,0,0,0
3,5,A,0,0,410.6154954,0,0,0,834.3011604,0,0,0,0,0,0,0
3,6,A,824.8317428,272.538751,612.1241429,473.2558291,740.3238807,165.0466095,106.3231642,0,0,0,0,0,0,0
3,7,A,558.5692593,0,786.6057863,192.0328096,505.5240799,0,449.6408618,0,0,0,0,0,0,0
3,8,A,318.6557777,259.1186712,239.2466474,692.306234,427.8997975,44.42212121,0,0,0,0,0,0,0,0
3,9,A,95.93376722,0,58.23894456,0,109.8236735,369.8556451,495.5921458,0,0,0,0,401.9997685,32.36763387,0
3,10,A,393.1156785,14.7575212,157.3577411,196.1695668,567.7634498,569.2113094,469.8457033,0,0,0,0,0,0,394.8001171
